"bio1" "bio2" "bio3" "bio4" "bio5" "bio6" "bio8" "bio9" "bio10" "bio11" "bio12" "bio13" "bio14" "bio15" "bio16" "bio17" "bio18" "bio19"
"1" 80 56 25 6129 202 -21 156 25 161 6 580 62 32 20 178 102 166 134
"2" 80 56 25 6129 202 -21 156 25 161 6 580 62 32 20 178 102 166 134
"3" 80 56 25 6129 202 -21 156 25 161 6 580 62 32 20 178 102 166 134
"4" 80 56 25 6129 202 -21 156 25 161 6 580 62 32 20 178 102 166 134
"5" 80 56 25 6129 202 -21 156 25 161 6 580 62 32 20 178 102 166 134
"6" 75 57 25 6125 198 -27 150 20 155 1 617 68 35 20 189 110 177 145
"7" 75 57 25 6125 198 -27 150 20 155 1 617 68 35 20 189 110 177 145
"8" 75 57 25 6125 198 -27 150 20 155 1 617 68 35 20 189 110 177 145
"9" 75 57 25 6125 198 -27 150 20 155 1 617 68 35 20 189 110 177 145
"10" 75 57 25 6125 198 -27 150 20 155 1 617 68 35 20 189 110 177 145
"11" 75 62 25 6565 212 -35 155 18 161 -6 498 59 29 22 163 88 149 111
"12" 75 62 25 6565 212 -35 155 18 161 -6 498 59 29 22 163 88 149 111
"13" 62 72 25 7358 217 -67 148 1 160 -29 553 70 26 30 195 87 186 114
"14" 62 72 25 7358 217 -67 148 1 160 -29 553 70 26 30 195 87 186 114
"15" 61 74 25 7419 217 -69 147 0 159 -31 558 71 27 30 199 88 189 111
"16" 61 74 25 7419 217 -69 147 0 159 -31 558 71 27 30 199 88 189 111
"17" 32 84 24 8728 206 -131 133 -35 146 -80 633 73 36 25 203 111 184 140
"18" 77 62 25 6500 211 -31 156 20 162 -3 540 63 32 21 174 97 158 122
"19" 77 62 25 6500 211 -31 156 20 162 -3 540 63 32 21 174 97 158 122
"20" 77 62 25 6500 211 -31 156 20 162 -3 540 63 32 21 174 97 158 122
"21" 76 61 26 6178 201 -31 150 22 157 1 683 72 37 22 208 121 195 164
"22" 24 87 25 8564 196 -140 122 -39 135 -87 642 74 36 24 215 113 198 136
"23" 33 81 24 8533 203 -124 133 -33 145 -75 684 77 40 24 214 123 189 156
"24" 76 58 25 6132 199 -27 151 21 157 2 612 68 35 20 188 109 176 144
"25" 76 58 25 6132 199 -27 151 21 157 2 612 68 35 20 188 109 176 144
"26" 34 82 24 8606 205 -126 134 -33 146 -76 654 74 38 24 206 117 184 148
"27" 34 82 24 8606 205 -126 134 -33 146 -76 654 74 38 24 206 117 184 148
"28" 34 82 24 8606 205 -126 134 -33 146 -76 654 74 38 24 206 117 184 148
"29" 34 82 24 8606 205 -126 134 -33 146 -76 654 74 38 24 206 117 184 148
"30" 34 82 24 8606 205 -126 134 -33 146 -76 654 74 38 24 206 117 184 148
